prediction_time,Province,selected_model_1h,selected_model_status_1h,selected_model_6h,selected_risk_score_6h,selected_risk_percentile_6h,selected_risk_level_6h,selected_model_status_6h,selected_model_24h,selected_risk_score_24h,selected_risk_percentile_24h,selected_risk_level_24h,selected_model_status_24h,planned_known_now,planned_known_next_1h,planned_known_next_6h,planned_known_next_24h,hours_to_next_known_planned_outage
2024-01-02 01:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0163197295572171,39.96689875584979,LOW,EXPERIMENTAL,RANDOM_FOREST,0.2973978191996481,14.028078986417077,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 01:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0071160363653705,43.4311151695012,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 02:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0102168548778517,50.59353955027965,LOW,EXPERIMENTAL,RANDOM_FOREST,0.3867890693433803,76.87478598333524,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 02:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0068270591761461,40.83437963702774,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0013512320706141,67.63497317657801,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 02:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0054957903481638,58.20682570482821,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 02:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0685385463521753,67.51512384431001,LOW,EXPERIMENTAL,RANDOM_FOREST,0.1113272067251502,7.613286154548568,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 02:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0165030903285851,40.48624586234448,LOW,EXPERIMENTAL,RANDOM_FOREST,0.3045309480752816,16.014153635429746,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 02:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0071727647246573,45.08617737701176,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 03:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0103848167940218,50.861773770117566,LOW,EXPERIMENTAL,RANDOM_FOREST,0.2413603872529056,58.74900125556444,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 03:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0101107849673667,82.23947038009359,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.0011971326164874,66.55632918616597,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 03:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0053050656776269,52.60244264353384,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 03:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0726416433342294,68.09724917246889,LOW,EXPERIMENTAL,RANDOM_FOREST,0.290767648497901,28.980709964615915,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 03:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0163197295572171,39.96689875584979,LOW,EXPERIMENTAL,RANDOM_FOREST,0.3063333534686271,16.584864741467868,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 03:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0098279587305038,73.09097135030248,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 04:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0093372739804976,46.70699691816003,LOW,EXPERIMENTAL,RANDOM_FOREST,0.2974458845324625,65.18662253167446,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 04:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0101459824617948,82.48487615568999,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.002552112870985,87.08480767035726,MODERATE,MVP_CANDIDATE,0,0,0,0,
2024-01-02 04:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0052512773491763,51.02727999086862,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 04:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0590209608164005,65.84864741467868,LOW,EXPERIMENTAL,RANDOM_FOREST,0.4968486375208643,56.30635772172127,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 04:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0150693178690384,36.47985389795686,LOW,EXPERIMENTAL,RANDOM_FOREST,0.3024605377477246,15.34071453030476,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 04:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0070387399397608,39.544572537381576,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 05:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0075333155705435,35.17863257618993,LOW,EXPERIMENTAL,RANDOM_FOREST,0.3167110233948014,67.37815317886086,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 05:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0105966830572348,85.28706768633718,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.0013549802544975,74.11254423011073,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 05:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0059102259105139,64.49606209336834,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 05:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.3732573416612085,87.03344367081384,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.5033693385176619,57.87010615226572,LOW,MVP_CANDIDATE,0,0,0,0,
