zone,year,hydro_annual_raw,hfo_annual_raw,go_annual_raw,solar_annual_raw,hybrid_annual_raw,generation_annual_total_raw,hydro_share,hfo_share,go_share,solar_share,hybrid_share,dispatchable_share,renewable_share_proxy,generation_growth_yoy
ANTANANARIVO,2024,873706.1350000001,417550.606,26461.753561699996,62975.960000000014,0.0,1380694.4545617,0.6328019440603585,0.30242071634346573,0.01916553910553675,0.045611800490639086,0.0,0.3215862554490025,0.6784137445509976,
ANTSIRANANA,2024,0.0,58907.331,53658.3837,6745.7902,23693.749,143005.2539,0.0,0.4119242432952318,0.37521966666708595,0.04717162493006839,0.16568446510761378,0.9528283750699316,0.04717162493006839,
FIANARANTSOA,2024,40308.223,0.0,34999.802,0.0,0.0,75308.025,0.5352447232549253,0.0,0.4647552767450747,0.0,0.0,0.4647552767450747,0.5352447232549253,
MAHAJANGA,2024,1318.7,59098.56999999999,34584.004749999986,2764.5090899999996,7471.6945,105237.47833999999,0.01253070693825977,0.5615734140746421,0.3286282158744473,0.02626924488886418,0.07099841822378657,0.961200048172876,0.03879995182712395,
TOAMASINA,2024,35273.692,124115.29800000001,32079.2185,2451.36675,4176.776,198096.35125,0.1780633099873918,0.6265400509238305,0.16193745264654388,0.012374618384093029,0.021084568058140848,0.8095620716285152,0.19043792837148485,
TOLIARY,2024,0.0,53402.888,13788.987000000001,4038.8243700000003,10438.9405,81669.63987,0.0,0.653889108425182,0.1688385919412528,0.049453191864552305,0.12781910776901287,0.9505468081354477,0.049453191864552305,
