horizon,model,complexity,positive_rows,roc_auc_proxy,average_precision_proxy,incidents,mean_percentile,worst_percentile,top10_rate,final_score,reliability_status
24h,RANDOM_FOREST,50,24,0.2748411978221415,0.0018115942028985,3,95.64814814814817,93.47222222222224,1.0,62.001319150366335,MVP_CANDIDATE
6h,HIST_GRADIENT_BOOSTING,100,6,0.370185772541912,0.0004573896594583,3,85.23148148148148,75.27777777777777,0.3333333333333333,55.93521455302153,EXPERIMENTAL
